TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,KEY_TYPE,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
role,1,role_id,serial,NO,PK,,
role,2,role_name,varchar(50),NO,UQ,,
role,3,description,varchar(255),YES,,,
role,4,created_at,timestamptz,NO,,,
users,1,user_id,serial,NO,PK,,
users,2,role_id,integer,NO,FK,role,role_id
users,3,full_name,varchar(100),NO,,,
users,4,email,varchar(150),NO,UQ,,
users,5,phone,varchar(20),YES,,,
users,6,password_hash,varchar(255),NO,,,
users,7,address,varchar(255),YES,,,
users,8,city,varchar(100),YES,,,
users,9,state,varchar(100),YES,,,
users,10,status,varchar(30),NO,,,
users,11,created_at,timestamptz,NO,,,
users,12,updated_at,timestamptz,NO,,,
users,13,last_login,timestamptz,YES,,,
disaster_type,1,disaster_type_id,serial,NO,PK,,
disaster_type,2,type_name,varchar(100),NO,UQ,,
disaster_type,3,description,varchar(255),YES,,,
disaster_type,4,is_active,boolean,NO,,,
disaster_type,5,created_at,timestamptz,NO,,,
incident,1,incident_id,serial,NO,PK,,
incident,2,disaster_type_id,integer,NO,FK,disaster_type,disaster_type_id
incident,3,reported_by,integer,NO,FK,users,user_id
incident,4,verified_by,integer,YES,FK,users,user_id
incident,5,title,varchar(200),NO,,,
incident,6,description,text,YES,,,
incident,7,location_address,varchar(255),YES,,,
incident,8,latitude,"decimal(10,7)",NO,,,
incident,9,longitude,"decimal(10,7)",NO,,,
incident,10,reported_at,timestamptz,NO,,,
incident,11,verified_at,timestamptz,YES,,,
incident,12,severity_level,varchar(30),YES,,,
incident,13,priority_level,varchar(30),YES,,,
incident,14,people_affected,integer,YES,,,
incident,15,status,varchar(30),NO,,,
incident,16,resolution_notes,text,YES,,,
incident,17,resolved_at,timestamptz,YES,,,
incident,18,created_at,timestamptz,NO,,,
incident,19,updated_at,timestamptz,NO,,,
incident_media,1,media_id,serial,NO,PK,,
incident_media,2,incident_id,integer,NO,FK,incident,incident_id
incident_media,3,uploaded_by,integer,NO,FK,users,user_id
incident_media,4,media_type,varchar(30),NO,,,
incident_media,5,file_path,varchar(500),NO,,,
incident_media,6,caption,varchar(255),YES,,,
incident_media,7,uploaded_at,timestamptz,NO,,,
incident_media,8,is_verified,boolean,NO,,,
ai_recommendation,1,recommendation_id,serial,NO,PK,,
ai_recommendation,2,incident_id,integer,NO,FK,incident,incident_id
ai_recommendation,3,model_name,varchar(100),NO,,,
ai_recommendation,4,severity_score,"decimal(5,2)",NO,,,
ai_recommendation,5,priority_level,varchar(30),NO,,,
ai_recommendation,6,recommended_resources,text,YES,,,
ai_recommendation,7,reasoning,text,YES,,,
ai_recommendation,8,confidence_score,"decimal(5,2)",NO,,,
ai_recommendation,9,review_status,varchar(30),NO,,,
ai_recommendation,10,reviewed_by,integer,YES,FK,users,user_id
ai_recommendation,11,reviewed_at,timestamptz,YES,,,
ai_recommendation,12,created_at,timestamptz,NO,,,
resource,1,resource_id,serial,NO,PK,,
resource,2,resource_name,varchar(150),NO,,,
resource,3,resource_type,varchar(100),NO,,,
resource,4,description,varchar(255),YES,,,
resource,5,quantity_available,integer,NO,,,
resource,6,location,varchar(255),YES,,,
resource,7,status,varchar(30),NO,,,
resource,8,contact_number,varchar(20),YES,,,
resource,9,created_at,timestamptz,NO,,,
resource,10,updated_at,timestamptz,NO,,,
vehicle,1,vehicle_id,serial,NO,PK,,
vehicle,2,vehicle_number,varchar(50),NO,UQ,,
vehicle,3,vehicle_type,varchar(100),NO,,,
vehicle,4,capacity,integer,NO,,,
vehicle,5,current_location,varchar(255),YES,,,
vehicle,6,status,varchar(30),NO,,,
vehicle,7,assigned_team,varchar(150),YES,,,
vehicle,8,created_at,timestamptz,NO,,,
vehicle,9,updated_at,timestamptz,NO,,,
equipment,1,equipment_id,serial,NO,PK,,
equipment,2,equipment_name,varchar(150),NO,,,
equipment,3,equipment_type,varchar(100),NO,,,
equipment,4,quantity_total,integer,NO,,,
equipment,5,quantity_available,integer,NO,,,
equipment,6,condition_status,varchar(50),NO,,,
equipment,7,location,varchar(255),YES,,,
equipment,8,created_at,timestamptz,NO,,,
equipment,9,updated_at,timestamptz,NO,,,
resource_assignment,1,assignment_id,serial,NO,PK,,
resource_assignment,2,incident_id,integer,NO,FK,incident,incident_id
resource_assignment,3,resource_id,integer,YES,FK,resource,resource_id
resource_assignment,4,vehicle_id,integer,YES,FK,vehicle,vehicle_id
resource_assignment,5,equipment_id,integer,YES,FK,equipment,equipment_id
resource_assignment,6,quantity_assigned,integer,NO,,,
resource_assignment,7,assigned_by,integer,NO,FK,users,user_id
resource_assignment,8,assigned_at,timestamptz,NO,,,
resource_assignment,9,start_time,timestamptz,YES,,,
resource_assignment,10,end_time,timestamptz,YES,,,
resource_assignment,11,status,varchar(30),NO,,,
resource_assignment,12,notes,text,YES,,,
hospital,1,hospital_id,serial,NO,PK,,
hospital,2,hospital_name,varchar(150),NO,,,
hospital,3,address,varchar(255),YES,,,
hospital,4,latitude,"decimal(10,7)",NO,,,
hospital,5,longitude,"decimal(10,7)",NO,,,
hospital,6,contact_number,varchar(20),YES,,,
hospital,7,emergency_capacity,integer,NO,,,
hospital,8,available_beds,integer,NO,,,
hospital,9,status,varchar(30),NO,,,
hospital,10,created_at,timestamptz,NO,,,
hospital,11,updated_at,timestamptz,NO,,,
shelter,1,shelter_id,serial,NO,PK,,
shelter,2,shelter_name,varchar(150),NO,,,
shelter,3,address,varchar(255),YES,,,
shelter,4,latitude,"decimal(10,7)",NO,,,
shelter,5,longitude,"decimal(10,7)",NO,,,
shelter,6,contact_number,varchar(20),YES,,,
shelter,7,capacity,integer,NO,,,
shelter,8,current_occupancy,integer,NO,,,
shelter,9,status,varchar(30),NO,,,
shelter,10,created_at,timestamptz,NO,,,
shelter,11,updated_at,timestamptz,NO,,,
notification,1,notification_id,serial,NO,PK,,
notification,2,user_id,integer,NO,FK,users,user_id
notification,3,incident_id,integer,YES,FK,incident,incident_id
notification,4,notification_type,varchar(50),NO,,,
notification,5,title,varchar(200),NO,,,
notification,6,message,text,NO,,,
notification,7,sent_at,timestamptz,NO,,,
notification,8,read_at,timestamptz,YES,,,
notification,9,status,varchar(30),NO,,,
report_log,1,report_id,serial,NO,PK,,
report_log,2,generated_by,integer,NO,FK,users,user_id
report_log,3,report_type,varchar(100),NO,,,
report_log,4,report_title,varchar(200),NO,,,
report_log,5,parameters,text,YES,,,
report_log,6,file_path,varchar(500),NO,,,
report_log,7,generated_at,timestamptz,NO,,,
audit_log,1,audit_id,serial,NO,PK,,
audit_log,2,user_id,integer,YES,FK,users,user_id
audit_log,3,action,varchar(100),NO,,,
audit_log,4,table_name,varchar(100),NO,,,
audit_log,5,record_id,integer,YES,,,
audit_log,6,old_values,text,YES,,,
audit_log,7,new_values,text,YES,,,
audit_log,8,ip_address,varchar(45),YES,,,
audit_log,9,created_at,timestamptz,NO,,,
system_settings,1,setting_id,serial,NO,PK,,
system_settings,2,updated_by,integer,NO,FK,users,user_id
system_settings,3,setting_key,varchar(100),NO,UQ,,
system_settings,4,setting_value,text,NO,,,
system_settings,5,description,varchar(255),YES,,,
system_settings,6,updated_at,timestamptz,NO,,,
